['2024-12-17 19:31:05.396735', {'0x433b0b38': 149, '0x336918e8': 65, '0x433aca0c': 67, '0x43590ff4': 60}]
['2024-12-17 19:35:52.075258', {'0x433b0b38': 160, '0x336918e8': 69, '0x433aca0c': 72, '0x43590ff4': 65}]
['2024-12-17 19:36:06.240370', {'0x433b0b38': 160, '0x336918e8': 70, '0x433aca0c': 72, '0x43590ff4': 65}]
['2024-12-17 19:36:10.762709', {'0x433b0b38': 160, '0x336918e8': 70, '0x433aca0c': 73, '0x43590ff4': 65}]
['2024-12-17 19:36:27.009155', {'0x433b0b38': 161, '0x336918e8': 70, '0x433aca0c': 73, '0x43590ff4': 65}]
['2024-12-17 19:36:43.109823', {'0x433b0b38': 161, '0x336918e8': 70, '0x433aca0c': 73, '0x43590ff4': 66}]
['2024-12-17 19:36:51.131368', {'0x433b0b38': 162, '0x336918e8': 70, '0x433aca0c': 73, '0x43590ff4': 66}]
['2024-12-17 19:36:51.655021', {'0x433b0b38': 163, '0x336918e8': 70, '0x433aca0c': 73, '0x43590ff4': 66}]
['2024-12-17 19:37:06.572534', {'0x433b0b38': 163, '0x336918e8': 71, '0x433aca0c': 73, '0x43590ff4': 66}]
['2024-12-17 19:37:10.784755', {'0x433b0b38': 163, '0x336918e8': 71, '0x433aca0c': 74, '0x43590ff4': 66}]
['2024-12-17 19:37:43.344045', {'0x433b0b38': 163, '0x336918e8': 71, '0x433aca0c': 74, '0x43590ff4': 67}]
['2024-12-17 19:37:51.163597', {'0x433b0b38': 164, '0x336918e8': 71, '0x433aca0c': 74, '0x43590ff4': 67}]
['2024-12-17 19:37:51.914136', {'0x433b0b38': 165, '0x336918e8': 71, '0x433aca0c': 74, '0x43590ff4': 67}]
['2024-12-17 19:38:06.687682', {'0x433b0b38': 165, '0x336918e8': 72, '0x433aca0c': 74, '0x43590ff4': 67}]
['2024-12-17 19:38:10.950770', {'0x433b0b38': 165, '0x336918e8': 72, '0x433aca0c': 75, '0x43590ff4': 67}]
['2024-12-17 19:38:43.229874', {'0x433b0b38': 165, '0x336918e8': 72, '0x433aca0c': 75, '0x43590ff4': 68}]
['2024-12-17 19:38:51.726238', {'0x433b0b38': 166, '0x336918e8': 72, '0x433aca0c': 75, '0x43590ff4': 68}]
['2024-12-17 19:38:52.569340', {'0x433b0b38': 167, '0x336918e8': 72, '0x433aca0c': 75, '0x43590ff4': 68}]
['2024-12-17 19:39:06.746590', {'0x433b0b38': 167, '0x336918e8': 73, '0x433aca0c': 75, '0x43590ff4': 68}]
['2024-12-17 19:39:11.145783', {'0x433b0b38': 167, '0x336918e8': 73, '0x433aca0c': 76, '0x43590ff4': 68}]
['2024-12-17 19:39:43.222795', {'0x433b0b38': 167, '0x336918e8': 73, '0x433aca0c': 76, '0x43590ff4': 69}]
['2024-12-17 19:39:51.645270', {'0x433b0b38': 168, '0x336918e8': 73, '0x433aca0c': 76, '0x43590ff4': 69}]
['2024-12-17 19:39:52.270217', {'0x433b0b38': 169, '0x336918e8': 73, '0x433aca0c': 76, '0x43590ff4': 69}]
['2024-12-17 19:39:54.551163', {'0x433b0b38': 170, '0x336918e8': 73, '0x433aca0c': 76, '0x43590ff4': 69}]
['2024-12-17 19:40:06.927821', {'0x433b0b38': 170, '0x336918e8': 74, '0x433aca0c': 76, '0x43590ff4': 69}]
['2024-12-17 19:40:11.487880', {'0x433b0b38': 170, '0x336918e8': 74, '0x433aca0c': 77, '0x43590ff4': 69}]
['2024-12-17 19:40:22.507275', {'0x433b0b38': 170, '0x336918e8': 74, '0x433aca0c': 78, '0x43590ff4': 69}]
['2024-12-17 19:40:43.286916', {'0x433b0b38': 170, '0x336918e8': 74, '0x433aca0c': 78, '0x43590ff4': 70}]
['2024-12-17 19:40:51.610110', {'0x433b0b38': 171, '0x336918e8': 74, '0x433aca0c': 78, '0x43590ff4': 70}]
['2024-12-17 19:40:52.520368', {'0x433b0b38': 172, '0x336918e8': 74, '0x433aca0c': 78, '0x43590ff4': 70}]
['2024-12-17 19:41:02.555650', {'0x433b0b38': 172, '0x336918e8': 74, '0x433aca0c': 79, '0x43590ff4': 70}]
['2024-12-17 19:41:07.135767', {'0x433b0b38': 172, '0x336918e8': 75, '0x433aca0c': 79, '0x43590ff4': 70}]
['2024-12-17 19:41:11.670881', {'0x433b0b38': 172, '0x336918e8': 75, '0x433aca0c': 80, '0x43590ff4': 70}]
['2024-12-17 19:41:43.452974', {'0x433b0b38': 172, '0x336918e8': 75, '0x433aca0c': 80, '0x43590ff4': 71}]
['2024-12-17 19:41:51.664453', {'0x433b0b38': 173, '0x336918e8': 75, '0x433aca0c': 80, '0x43590ff4': 71}]
['2024-12-17 19:41:52.327428', {'0x433b0b38': 174, '0x336918e8': 75, '0x433aca0c': 80, '0x43590ff4': 71}]
['2024-12-17 19:42:07.471851', {'0x433b0b38': 174, '0x336918e8': 76, '0x433aca0c': 80, '0x43590ff4': 71}]
['2024-12-17 19:42:11.957816', {'0x433b0b38': 174, '0x336918e8': 76, '0x433aca0c': 81, '0x43590ff4': 71}]
['2024-12-17 19:42:27.246530', {'0x433b0b38': 175, '0x336918e8': 76, '0x433aca0c': 81, '0x43590ff4': 71}]
['2024-12-17 19:42:43.528039', {'0x433b0b38': 175, '0x336918e8': 76, '0x433aca0c': 81, '0x43590ff4': 72}]
['2024-12-17 19:42:51.684483', {'0x433b0b38': 176, '0x336918e8': 76, '0x433aca0c': 81, '0x43590ff4': 72}]
['2024-12-17 19:42:52.210153', {'0x433b0b38': 177, '0x336918e8': 76, '0x433aca0c': 81, '0x43590ff4': 72}]
['2024-12-17 19:43:07.507549', {'0x433b0b38': 177, '0x336918e8': 77, '0x433aca0c': 81, '0x43590ff4': 72}]
['2024-12-17 19:43:11.949599', {'0x433b0b38': 177, '0x336918e8': 77, '0x433aca0c': 82, '0x43590ff4': 72}]
['2024-12-17 19:43:43.480663', {'0x433b0b38': 177, '0x336918e8': 77, '0x433aca0c': 82, '0x43590ff4': 73}]
['2024-12-17 19:43:51.734374', {'0x433b0b38': 178, '0x336918e8': 77, '0x433aca0c': 82, '0x43590ff4': 73}]
['2024-12-17 19:43:52.759193', {'0x433b0b38': 179, '0x336918e8': 77, '0x433aca0c': 82, '0x43590ff4': 73}]
['2024-12-17 19:44:07.656736', {'0x433b0b38': 179, '0x336918e8': 78, '0x433aca0c': 82, '0x43590ff4': 73}]
['2024-12-17 19:44:12.062891', {'0x433b0b38': 179, '0x336918e8': 78, '0x433aca0c': 83, '0x43590ff4': 73}]
['2024-12-17 19:44:43.591773', {'0x433b0b38': 179, '0x336918e8': 78, '0x433aca0c': 83, '0x43590ff4': 74}]
['2024-12-17 19:44:51.775604', {'0x433b0b38': 180, '0x336918e8': 78, '0x433aca0c': 83, '0x43590ff4': 74}]
['2024-12-17 19:44:52.855166', {'0x433b0b38': 181, '0x336918e8': 78, '0x433aca0c': 83, '0x43590ff4': 74}]
['2024-12-17 19:44:55.337219', {'0x433b0b38': 182, '0x336918e8': 78, '0x433aca0c': 83, '0x43590ff4': 74}]
['2024-12-17 19:45:07.942910', {'0x433b0b38': 182, '0x336918e8': 79, '0x433aca0c': 83, '0x43590ff4': 74}]
['2024-12-17 19:45:12.357790', {'0x433b0b38': 182, '0x336918e8': 79, '0x433aca0c': 84, '0x43590ff4': 74}]
['2024-12-17 19:45:43.633879', {'0x433b0b38': 182, '0x336918e8': 79, '0x433aca0c': 84, '0x43590ff4': 75}]
['2024-12-17 19:45:51.747534', {'0x433b0b38': 183, '0x336918e8': 79, '0x433aca0c': 84, '0x43590ff4': 75}]
['2024-12-17 19:45:52.766172', {'0x433b0b38': 184, '0x336918e8': 79, '0x433aca0c': 84, '0x43590ff4': 75}]
['2024-12-17 19:46:08.047888', {'0x433b0b38': 184, '0x336918e8': 80, '0x433aca0c': 84, '0x43590ff4': 75}]
['2024-12-17 19:46:12.404917', {'0x433b0b38': 184, '0x336918e8': 80, '0x433aca0c': 85, '0x43590ff4': 75}]
['2024-12-17 19:46:43.684783', {'0x433b0b38': 184, '0x336918e8': 80, '0x433aca0c': 85, '0x43590ff4': 76}]
['2024-12-17 19:46:52.245446', {'0x433b0b38': 185, '0x336918e8': 80, '0x433aca0c': 85, '0x43590ff4': 76}]
['2024-12-17 19:46:53.563496', {'0x433b0b38': 186, '0x336918e8': 80, '0x433aca0c': 85, '0x43590ff4': 76}]
['2024-12-17 19:47:08.229858', {'0x433b0b38': 186, '0x336918e8': 81, '0x433aca0c': 85, '0x43590ff4': 76}]
['2024-12-17 19:47:14.543052', {'0x433b0b38': 186, '0x336918e8': 81, '0x433aca0c': 86, '0x43590ff4': 76}]
['2024-12-17 19:47:43.577104', {'0x433b0b38': 186, '0x336918e8': 81, '0x433aca0c': 86, '0x43590ff4': 77}]
['2024-12-17 19:47:51.800475', {'0x433b0b38': 187, '0x336918e8': 81, '0x433aca0c': 86, '0x43590ff4': 77}]
['2024-12-17 19:47:53.300213', {'0x433b0b38': 188, '0x336918e8': 81, '0x433aca0c': 86, '0x43590ff4': 77}]
['2024-12-17 19:48:08.595838', {'0x433b0b38': 188, '0x336918e8': 82, '0x433aca0c': 86, '0x43590ff4': 77}]
['2024-12-17 19:48:12.899195', {'0x433b0b38': 188, '0x336918e8': 82, '0x433aca0c': 87, '0x43590ff4': 77}]
['2024-12-17 19:48:27.480460', {'0x433b0b38': 189, '0x336918e8': 82, '0x433aca0c': 87, '0x43590ff4': 77}]
['2024-12-17 19:48:43.757996', {'0x433b0b38': 189, '0x336918e8': 82, '0x433aca0c': 87, '0x43590ff4': 78}]
['2024-12-17 19:48:51.963601', {'0x433b0b38': 190, '0x336918e8': 82, '0x433aca0c': 87, '0x43590ff4': 78}]
['2024-12-17 19:48:53.530332', {'0x433b0b38': 191, '0x336918e8': 82, '0x433aca0c': 87, '0x43590ff4': 78}]
['2024-12-17 19:49:08.766618', {'0x433b0b38': 191, '0x336918e8': 83, '0x433aca0c': 87, '0x43590ff4': 78}]
['2024-12-17 19:49:13.157890', {'0x433b0b38': 191, '0x336918e8': 83, '0x433aca0c': 88, '0x43590ff4': 78}]
['2024-12-17 19:49:43.688171', {'0x433b0b38': 191, '0x336918e8': 83, '0x433aca0c': 88, '0x43590ff4': 79}]
['2024-12-17 19:49:51.878491', {'0x433b0b38': 192, '0x336918e8': 83, '0x433aca0c': 88, '0x43590ff4': 79}]
['2024-12-17 19:49:54.271446', {'0x433b0b38': 193, '0x336918e8': 83, '0x433aca0c': 88, '0x43590ff4': 79}]
['2024-12-17 19:49:54.848410', {'0x433b0b38': 194, '0x336918e8': 83, '0x433aca0c': 88, '0x43590ff4': 79}]
['2024-12-17 19:50:08.957872', {'0x433b0b38': 194, '0x336918e8': 84, '0x433aca0c': 88, '0x43590ff4': 79}]
['2024-12-17 19:50:13.445154', {'0x433b0b38': 194, '0x336918e8': 84, '0x433aca0c': 89, '0x43590ff4': 79}]
['2024-12-17 19:50:43.729112', {'0x433b0b38': 194, '0x336918e8': 84, '0x433aca0c': 89, '0x43590ff4': 80}]
['2024-12-17 19:50:51.857580', {'0x433b0b38': 195, '0x336918e8': 84, '0x433aca0c': 89, '0x43590ff4': 80}]
['2024-12-17 19:50:53.933947', {'0x433b0b38': 196, '0x336918e8': 84, '0x433aca0c': 89, '0x43590ff4': 80}]
['2024-12-17 19:51:09.052835', {'0x433b0b38': 196, '0x336918e8': 85, '0x433aca0c': 89, '0x43590ff4': 80}]
['2024-12-17 19:51:13.367093', {'0x433b0b38': 196, '0x336918e8': 85, '0x433aca0c': 90, '0x43590ff4': 80}]
['2024-12-17 19:51:43.897177', {'0x433b0b38': 196, '0x336918e8': 85, '0x433aca0c': 90, '0x43590ff4': 81}]
['2024-12-17 19:51:51.873593', {'0x433b0b38': 197, '0x336918e8': 85, '0x433aca0c': 90, '0x43590ff4': 81}]
['2024-12-17 19:51:54.141353', {'0x433b0b38': 198, '0x336918e8': 85, '0x433aca0c': 90, '0x43590ff4': 81}]
['2024-12-17 19:52:09.158938', {'0x433b0b38': 198, '0x336918e8': 86, '0x433aca0c': 90, '0x43590ff4': 81}]
['2024-12-17 19:52:13.739001', {'0x433b0b38': 198, '0x336918e8': 86, '0x433aca0c': 91, '0x43590ff4': 81}]
['2024-12-17 19:52:43.770249', {'0x433b0b38': 198, '0x336918e8': 86, '0x433aca0c': 91, '0x43590ff4': 82}]
['2024-12-17 19:52:52.662795', {'0x433b0b38': 199, '0x336918e8': 86, '0x433aca0c': 91, '0x43590ff4': 82}]
['2024-12-17 19:52:55.352382', {'0x433b0b38': 200, '0x336918e8': 86, '0x433aca0c': 91, '0x43590ff4': 82}]
['2024-12-17 19:53:09.347965', {'0x433b0b38': 200, '0x336918e8': 87, '0x433aca0c': 91, '0x43590ff4': 82}]
['2024-12-17 19:53:13.817080', {'0x433b0b38': 200, '0x336918e8': 87, '0x433aca0c': 92, '0x43590ff4': 82}]
['2024-12-17 19:53:43.868167', {'0x433b0b38': 200, '0x336918e8': 87, '0x433aca0c': 92, '0x43590ff4': 83}]
['2024-12-17 19:53:51.900584', {'0x433b0b38': 201, '0x336918e8': 87, '0x433aca0c': 92, '0x43590ff4': 83}]
['2024-12-17 19:53:55.076216', {'0x433b0b38': 202, '0x336918e8': 87, '0x433aca0c': 92, '0x43590ff4': 83}]
['2024-12-17 19:54:09.598930', {'0x433b0b38': 202, '0x336918e8': 88, '0x433aca0c': 92, '0x43590ff4': 83}]
['2024-12-17 19:54:15.544126', {'0x433b0b38': 202, '0x336918e8': 88, '0x433aca0c': 93, '0x43590ff4': 83}]
['2024-12-17 19:54:27.833669', {'0x433b0b38': 203, '0x336918e8': 88, '0x433aca0c': 93, '0x43590ff4': 83}]
['2024-12-17 19:54:40.828659', {'0x433b0b38': 203, '0x336918e8': 89, '0x433aca0c': 93, '0x43590ff4': 83}]
['2024-12-17 19:54:43.864360', {'0x433b0b38': 203, '0x336918e8': 89, '0x433aca0c': 93, '0x43590ff4': 84}]
['2024-12-17 19:54:51.917675', {'0x433b0b38': 204, '0x336918e8': 89, '0x433aca0c': 93, '0x43590ff4': 84}]
['2024-12-17 19:54:55.198657', {'0x433b0b38': 205, '0x336918e8': 89, '0x433aca0c': 93, '0x43590ff4': 84}]
['2024-12-17 19:54:55.820390', {'0x433b0b38': 206, '0x336918e8': 89, '0x433aca0c': 93, '0x43590ff4': 84}]
['2024-12-17 19:55:09.682996', {'0x433b0b38': 206, '0x336918e8': 90, '0x433aca0c': 93, '0x43590ff4': 84}]
['2024-12-17 19:55:14.269243', {'0x433b0b38': 206, '0x336918e8': 90, '0x433aca0c': 94, '0x43590ff4': 84}]
['2024-12-17 19:55:44.056370', {'0x433b0b38': 206, '0x336918e8': 90, '0x433aca0c': 94, '0x43590ff4': 85}]
['2024-12-17 19:55:51.985679', {'0x433b0b38': 207, '0x336918e8': 90, '0x433aca0c': 94, '0x43590ff4': 85}]
['2024-12-17 19:55:55.698500', {'0x433b0b38': 208, '0x336918e8': 90, '0x433aca0c': 94, '0x43590ff4': 85}]
['2024-12-17 19:56:10.040961', {'0x433b0b38': 208, '0x336918e8': 91, '0x433aca0c': 94, '0x43590ff4': 85}]
['2024-12-17 19:56:14.604054', {'0x433b0b38': 208, '0x336918e8': 91, '0x433aca0c': 95, '0x43590ff4': 85}]
['2024-12-17 19:56:43.925188', {'0x433b0b38': 208, '0x336918e8': 91, '0x433aca0c': 95, '0x43590ff4': 86}]
['2024-12-17 19:56:51.993663', {'0x433b0b38': 209, '0x336918e8': 91, '0x433aca0c': 95, '0x43590ff4': 86}]
['2024-12-17 19:56:55.315617', {'0x433b0b38': 210, '0x336918e8': 91, '0x433aca0c': 95, '0x43590ff4': 86}]
['2024-12-17 19:57:10.347944', {'0x433b0b38': 210, '0x336918e8': 92, '0x433aca0c': 95, '0x43590ff4': 86}]
['2024-12-17 19:57:14.583271', {'0x433b0b38': 210, '0x336918e8': 92, '0x433aca0c': 96, '0x43590ff4': 86}]
['2024-12-17 19:57:44.137059', {'0x433b0b38': 210, '0x336918e8': 92, '0x433aca0c': 96, '0x43590ff4': 87}]
['2024-12-17 19:57:52.042519', {'0x433b0b38': 211, '0x336918e8': 92, '0x433aca0c': 96, '0x43590ff4': 87}]
['2024-12-17 19:57:55.545692', {'0x433b0b38': 212, '0x336918e8': 92, '0x433aca0c': 96, '0x43590ff4': 87}]
['2024-12-17 19:58:10.253105', {'0x433b0b38': 212, '0x336918e8': 93, '0x433aca0c': 96, '0x43590ff4': 87}]
['2024-12-17 19:58:14.842240', {'0x433b0b38': 212, '0x336918e8': 93, '0x433aca0c': 97, '0x43590ff4': 87}]
['2024-12-17 19:58:22.810850', {'0x433b0b38': 212, '0x336918e8': 93, '0x433aca0c': 98, '0x43590ff4': 87}]
['2024-12-17 19:58:44.087376', {'0x433b0b38': 212, '0x336918e8': 93, '0x433aca0c': 98, '0x43590ff4': 88}]
['2024-12-17 19:58:52.201802', {'0x433b0b38': 213, '0x336918e8': 93, '0x433aca0c': 98, '0x43590ff4': 88}]
['2024-12-17 19:58:55.818678', {'0x433b0b38': 214, '0x336918e8': 93, '0x433aca0c': 98, '0x43590ff4': 88}]
['2024-12-17 19:59:02.968977', {'0x433b0b38': 214, '0x336918e8': 93, '0x433aca0c': 99, '0x43590ff4': 88}]
['2024-12-17 19:59:10.606374', {'0x433b0b38': 214, '0x336918e8': 94, '0x433aca0c': 99, '0x43590ff4': 88}]
['2024-12-17 19:59:15.331390', {'0x433b0b38': 214, '0x336918e8': 94, '0x433aca0c': 100, '0x43590ff4': 88}]
['2024-12-17 19:59:44.112296', {'0x433b0b38': 214, '0x336918e8': 94, '0x433aca0c': 100, '0x43590ff4': 89}]
['2024-12-17 19:59:52.026604', {'0x433b0b38': 215, '0x336918e8': 94, '0x433aca0c': 100, '0x43590ff4': 89}]
['2024-12-17 19:59:56.327702', {'0x433b0b38': 216, '0x336918e8': 94, '0x433aca0c': 100, '0x43590ff4': 89}]
['2024-12-17 19:59:56.875668', {'0x433b0b38': 217, '0x336918e8': 94, '0x433aca0c': 100, '0x43590ff4': 89}]
['2024-12-17 20:00:10.604156', {'0x433b0b38': 217, '0x336918e8': 95, '0x433aca0c': 100, '0x43590ff4': 89}]
['2024-12-17 20:00:15.033394', {'0x433b0b38': 217, '0x336918e8': 95, '0x433aca0c': 101, '0x43590ff4': 89}]
['2024-12-17 20:00:28.470942', {'0x433b0b38': 218, '0x336918e8': 95, '0x433aca0c': 101, '0x43590ff4': 89}]
['2024-12-17 20:00:44.302459', {'0x433b0b38': 218, '0x336918e8': 95, '0x433aca0c': 101, '0x43590ff4': 90}]
['2024-12-17 20:00:52.082870', {'0x433b0b38': 219, '0x336918e8': 95, '0x433aca0c': 101, '0x43590ff4': 90}]
['2024-12-17 20:00:56.239640', {'0x433b0b38': 220, '0x336918e8': 95, '0x433aca0c': 101, '0x43590ff4': 90}]
['2024-12-17 20:01:10.796204', {'0x433b0b38': 220, '0x336918e8': 96, '0x433aca0c': 101, '0x43590ff4': 90}]
['2024-12-17 20:01:15.303427', {'0x433b0b38': 220, '0x336918e8': 96, '0x433aca0c': 102, '0x43590ff4': 90}]
['2024-12-17 20:01:44.330402', {'0x433b0b38': 220, '0x336918e8': 96, '0x433aca0c': 102, '0x43590ff4': 91}]
['2024-12-17 20:01:52.048332', {'0x433b0b38': 221, '0x336918e8': 96, '0x433aca0c': 102, '0x43590ff4': 91}]
['2024-12-17 20:01:56.684784', {'0x433b0b38': 222, '0x336918e8': 96, '0x433aca0c': 102, '0x43590ff4': 91}]
['2024-12-17 20:02:10.997216', {'0x433b0b38': 222, '0x336918e8': 97, '0x433aca0c': 102, '0x43590ff4': 91}]
['2024-12-17 20:02:15.397306', {'0x433b0b38': 222, '0x336918e8': 97, '0x433aca0c': 103, '0x43590ff4': 91}]
['2024-12-17 20:02:44.241454', {'0x433b0b38': 222, '0x336918e8': 97, '0x433aca0c': 103, '0x43590ff4': 92}]
['2024-12-17 20:02:52.126080', {'0x433b0b38': 223, '0x336918e8': 97, '0x433aca0c': 103, '0x43590ff4': 92}]
['2024-12-17 20:02:56.845800', {'0x433b0b38': 224, '0x336918e8': 97, '0x433aca0c': 103, '0x43590ff4': 92}]
['2024-12-17 20:03:11.152439', {'0x433b0b38': 224, '0x336918e8': 98, '0x433aca0c': 103, '0x43590ff4': 92}]
['2024-12-17 20:03:15.666376', {'0x433b0b38': 224, '0x336918e8': 98, '0x433aca0c': 104, '0x43590ff4': 92}]
['2024-12-17 20:03:44.443553', {'0x433b0b38': 224, '0x336918e8': 98, '0x433aca0c': 104, '0x43590ff4': 93}]
['2024-12-17 20:03:52.594714', {'0x433b0b38': 225, '0x336918e8': 98, '0x433aca0c': 104, '0x43590ff4': 93}]
['2024-12-17 20:03:57.214807', {'0x433b0b38': 226, '0x336918e8': 98, '0x433aca0c': 104, '0x43590ff4': 93}]
['2024-12-17 20:04:11.369457', {'0x433b0b38': 226, '0x336918e8': 99, '0x433aca0c': 104, '0x43590ff4': 93}]
['2024-12-17 20:04:16.115481', {'0x433b0b38': 226, '0x336918e8': 99, '0x433aca0c': 105, '0x43590ff4': 93}]
['2024-12-17 20:04:44.447522', {'0x433b0b38': 226, '0x336918e8': 99, '0x433aca0c': 105, '0x43590ff4': 94}]
['2024-12-17 20:04:52.577915', {'0x433b0b38': 227, '0x336918e8': 99, '0x433aca0c': 105, '0x43590ff4': 94}]
['2024-12-17 20:04:57.486999', {'0x433b0b38': 228, '0x336918e8': 99, '0x433aca0c': 105, '0x43590ff4': 94}]
['2024-12-17 20:04:58.304905', {'0x433b0b38': 229, '0x336918e8': 99, '0x433aca0c': 105, '0x43590ff4': 94}]
['2024-12-17 20:05:11.627459', {'0x433b0b38': 229, '0x336918e8': 100, '0x433aca0c': 105, '0x43590ff4': 94}]
['2024-12-17 20:05:15.942494', {'0x433b0b38': 229, '0x336918e8': 100, '0x433aca0c': 106, '0x43590ff4': 94}]
['2024-12-17 20:05:44.471630', {'0x433b0b38': 229, '0x336918e8': 100, '0x433aca0c': 106, '0x43590ff4': 95}]
['2024-12-17 20:05:52.119014', {'0x433b0b38': 230, '0x336918e8': 100, '0x433aca0c': 106, '0x43590ff4': 95}]
['2024-12-17 20:05:57.454057', {'0x433b0b38': 231, '0x336918e8': 100, '0x433aca0c': 106, '0x43590ff4': 95}]
['2024-12-17 20:06:11.725619', {'0x433b0b38': 231, '0x336918e8': 101, '0x433aca0c': 106, '0x43590ff4': 95}]
['2024-12-17 20:06:20.260672', {'0x433b0b38': 231, '0x336918e8': 101, '0x433aca0c': 107, '0x43590ff4': 95}]
['2024-12-17 20:06:28.224176', {'0x433b0b38': 232, '0x336918e8': 101, '0x433aca0c': 107, '0x43590ff4': 95}]
['2024-12-17 20:06:44.604545', {'0x433b0b38': 232, '0x336918e8': 101, '0x433aca0c': 107, '0x43590ff4': 96}]
['2024-12-17 20:06:52.122893', {'0x433b0b38': 233, '0x336918e8': 101, '0x433aca0c': 107, '0x43590ff4': 96}]
['2024-12-17 20:06:57.640928', {'0x433b0b38': 234, '0x336918e8': 101, '0x433aca0c': 107, '0x43590ff4': 96}]
['2024-12-17 20:07:11.984326', {'0x433b0b38': 234, '0x336918e8': 102, '0x433aca0c': 107, '0x43590ff4': 96}]
['2024-12-17 20:07:16.345554', {'0x433b0b38': 234, '0x336918e8': 102, '0x433aca0c': 108, '0x43590ff4': 96}]
['2024-12-17 20:07:44.637739', {'0x433b0b38': 234, '0x336918e8': 102, '0x433aca0c': 108, '0x43590ff4': 97}]
['2024-12-17 20:07:52.202979', {'0x433b0b38': 235, '0x336918e8': 102, '0x433aca0c': 108, '0x43590ff4': 97}]
['2024-12-17 20:07:57.879010', {'0x433b0b38': 236, '0x336918e8': 102, '0x433aca0c': 108, '0x43590ff4': 97}]
['2024-12-17 20:08:12.058267', {'0x433b0b38': 236, '0x336918e8': 103, '0x433aca0c': 108, '0x43590ff4': 97}]
['2024-12-17 20:08:16.517668', {'0x433b0b38': 236, '0x336918e8': 103, '0x433aca0c': 109, '0x43590ff4': 97}]
['2024-12-17 20:08:44.800611', {'0x433b0b38': 236, '0x336918e8': 103, '0x433aca0c': 109, '0x43590ff4': 98}]
['2024-12-17 20:08:52.176103', {'0x433b0b38': 237, '0x336918e8': 103, '0x433aca0c': 109, '0x43590ff4': 98}]
